day,0,1,2,Sentiment,Sentiment_diff,strong_positive
2022-11-13,2227,2849,857,Positive,1370,0
2022-11-14,5374,5402,1553,Positive,3821,0
2022-11-15,11395,12911,3932,Positive,7463,0
2022-11-16,12854,15739,4809,Positive,8045,0
2022-11-20,1803,2873,770,Positive,1033,0
2022-11-21,8420,10486,3146,Positive,5274,0
2022-12-24,2168,2448,644,Positive,1524,0
2022-12-25,5478,8110,1587,Positive,3891,0
2022-12-26,177,316,45,Positive,132,1
2022-12-27,6684,8081,2266,Positive,4418,0
2023-01-06,1210,2124,354,Positive,856,0
2023-01-07,7531,10412,2231,Positive,5300,0
2023-01-08,1289,2135,453,Positive,836,0
2023-01-09,10400,13062,3220,Positive,7180,0
